Name,Rating,Reviews,Expense Level,Address
Amano Italian Kitchen,4.3,925,Moderate Cost,"RestaurantUnion, 65 Front St W"
Kimchi Korea House,4.3,2.1K,Moderate Cost,Korean149 Dundas St W
Silent H,4.6,931,Moderate Cost,Restaurant461 King Street WestOpen
Blu Ristorante,4.5,1.4K,Expensive,Italian restaurant90 Avenue Road
Trios Bistro,4.2,113,Moderate Cost,Restaurant525 Bay St.
BENARES Cucina Indian,4.2,588,Moderate Cost,Indian49 Front St E
Wah Too Seafood Restaurant,4.3,946,Low Cost,Seafood58 Centre Ave
REIGN Restaurant + Bar + Bakery,4.4,469,Expensive,Restaurant100 Front St W
King Street Social Kitchen & Bar,3.8,97,Moderate Cost,Restaurant370 King St W
Sansotei Ramen,4.5,2.3K,Low Cost,Ramen179 Dundas St W
Edulis Restaurant,4.6,490,Expensive,Restaurant169 Niagara St
Burger Factory,4.5,554,Low Cost,Restaurant437 Yonge St
Yueh Tung Restaurant,4.3,1.8K,Moderate Cost,Chinese126 Elizabeth St
New Sky Restaurant,4.2,1.2K,Moderate Cost,Chinese353 Spadina Ave.
Red Lobster,4.2,3.1K,Moderate Cost,Seafood20 Dundas St W
Aria,4.0,644,Expensive,Italian25 York St
Liuyishou Hotpot Downtown Toronto,4.7,2.8K,Expensive,Hot Pot254 Spadina Ave.
Kiyomi,4.3,231,Expensive,Authentic Japanese76 Gerrard St E
Her Chef - Asian Fusion Restaurant Toronto,4.7,629,Low Cost,Korean599 Bloor St W Main Floor
Holy Cow Japanese Steakhouse,4.4,1.3K,Moderate Cost,Japanese steakhouse254 Queen St W
Avelo Restaurant,4.6,699,Expensive,Restaurant51 St Nicholas St
The Mission Eatery,4.6,271,Moderate Cost,Restaurant676 Queen St W
NAAN KABOB,4.3,3.6K,Moderate Cost,Afghani691 Yonge St
Bar Vendetta,4.6,696,Moderate Cost,Italian928 Dundas St W
Silent H,4.6,931,Moderate Cost,"RestaurantToronto, ONOpen"
Blu Ristorante,4.5,1.4K,Expensive,"Italian restaurantToronto, Ontario"
Frenchy Bar et Brasserie,4.4,123,Moderate Cost,French145 Richmond St WCloses soon
Wynona Toronto,4.5,553,Moderate Cost,Italian819 Gerrard St E
Madrina Bar y Tapas,4.2,2K,Moderate Cost,Tapas Bar2 Trinity St
Bindia Indian Bistro,4.0,1.2K,Moderate Cost,Indian16 Market St.
Bombay Palace Downtown Toronto,4.0,621,Moderate Cost,Indian71 Jarvis St
Anh Dao Restaurant,4.4,1K,Low Cost,Vietnamese383 Spadina Ave.
Fet Zun,4.4,463,Moderate Cost,Restaurant252 Dupont St
Karine’s Fresh,4.6,981,Low Cost,Brunch109 McCaul St
Ten Restaurant,4.8,273,Expensive,Fine Dining1132 College St
Aroma Fine Indian Cuisine,3.9,2.2K,Moderate Cost,Indian287 King St W
Banh Mi Boys,4.5,2.3K,Low Cost,Sandwich392 Queen St W
Basil Box,4.3,981,Low Cost,South East Asian351 Yonge St
Jollibee,4.1,1.5K,Low Cost,Chicken334 Yonge St
The Haam (Sushi & Taco),4.5,1.6K,Moderate Cost,Fusion restaurant342 Adelaide St W
Aristos Souvlaki & Gyros,4.5,295,Low Cost,Restaurant265 Queen St W
GURUME SUSHI,4.6,578,Moderate Cost,"JapaneseCA, 45 Carlton St."
Sizzler Kabab,4.1,1.5K,Low Cost,Halal381 Spadina Ave.Corner pit stop for Indian street fare
The Host Fine Indian Cuisine (Toronto),4.0,1.3K,Moderate Cost,Indian87 Elm St
NaiNai Indonesian Food,4.8,575,Low Cost,"IndonesianVillage by The Grange (inside the Food Court, 109 McCaul St #20"
BOM Bibimbap,4.6,524,Low Cost,Korean72 Gerrard St W
